ticker,data_points,start_date,end_date,current_price,ytd_return,file_saved
CNH,319,2024-05-20,2025-08-27,12.07,8.348294434470382,daily_data_cnh_complete.csv
CVX,415,2024-01-02,2025-08-27,159.24,6.5293015788065345,daily_data_cvx_complete.csv
EQT,415,2024-01-02,2025-08-27,51.35,31.937307297019537,daily_data_eqt_complete.csv
RSP,415,2024-01-02,2025-08-27,188.85,19.63889768767817,daily_data_rsp_complete.csv
TFC,415,2024-01-02,2025-08-27,46.78,24.71340975739804,daily_data_tfc_complete.csv
WMT,415,2024-01-02,2025-08-27,96.08,80.95286524397937,daily_data_wmt_complete.csv
IWM,415,2024-01-02,2025-08-27,235.94,18.253809141940657,daily_data_iwm_complete.csv
HPE,415,2024-01-02,2025-08-27,22.73,34.25871234494979,daily_data_hpe_complete.csv
AGNC,415,2024-01-02,2025-08-27,9.8,1.449275362318847,daily_data_agnc_complete.csv
XOM,415,2024-01-02,2025-08-27,112.75,10.150449394294636,daily_data_xom_complete.csv
GRAB,415,2024-01-02,2025-08-27,4.95,50.00000000000002,daily_data_grab_complete.csv
DNN,415,2024-01-02,2025-08-27,2.17,28.402366863905314,daily_data_dnn_complete.csv
AMZN,415,2024-01-02,2025-08-27,229.12,52.817981724804895,daily_data_amzn_complete.csv
QCOM,415,2024-01-02,2025-08-27,159.77,13.93425087356488,daily_data_qcom_complete.csv
XLP,415,2024-01-02,2025-08-27,80.77,10.886875343217994,daily_data_xlp_complete.csv
LQD,415,2024-01-02,2025-08-27,110.03,0.1091802383768492,daily_data_lqd_complete.csv
XLE,415,2024-01-02,2025-08-27,89.22,5.286759499645988,daily_data_xle_complete.csv
WMB,415,2024-01-02,2025-08-27,57.49,61.852477477477464,daily_data_wmb_complete.csv
HLN,415,2024-01-02,2025-08-27,9.71,17.982989064398545,daily_data_hln_complete.csv
AIFF,261,2024-08-13,2025-08-27,2.63,-68.83258476233365,daily_data_aiff_complete.csv
HYG,415,2024-01-02,2025-08-27,80.97,4.978607545702074,daily_data_hyg_complete.csv
ETSY,415,2024-01-02,2025-08-27,54.43,-32.86877158362111,daily_data_etsy_complete.csv
VCSH,415,2024-01-02,2025-08-27,79.86,3.4724021767297053,daily_data_vcsh_complete.csv
SCHD,415,2024-01-02,2025-08-27,27.87,9.023482883665256,daily_data_schd_complete.csv
USHY,415,2024-01-02,2025-08-27,37.68,3.9735099337748325,daily_data_ushy_complete.csv
USB,415,2024-01-02,2025-08-27,48.76,11.045319972671376,daily_data_usb_complete.csv
SOXL,415,2024-01-02,2025-08-27,28.18,0.4992867332382245,daily_data_soxl_complete.csv
